GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/25,8:00 PM,@,St. Louis Blues,5,0,W,,1,0,0,W 1,"18,096",2:25,
2,10/11/25,8:00 PM,,Columbus Blue Jackets,4,7,L,,1,1,0,L 1,"18,836",2:41,
3,10/13/25,8:00 PM,,Los Angeles Kings,4,3,W,SO,2,1,0,W 1,"17,102",2:52,
4,10/14/25,9:30 PM,@,Dallas Stars,2,5,L,,2,2,0,L 1,"18,532",2:32,
5,10/17/25,7:00 PM,@,Washington Capitals,1,5,L,,2,3,0,L 2,"17,482",2:32,
6,10/18/25,7:00 PM,@,Philadelphia Flyers,1,2,L,OT,2,3,1,L 3,"17,011",2:37,
7,10/20/25,7:00 PM,@,New York Rangers,3,1,W,,3,3,1,W 1,"18,006",2:33,
8,10/22/25,7:00 PM,@,New Jersey Devils,1,4,L,,3,4,1,L 1,"16,434",2:29,
9,10/25/25,6:00 PM,,Utah Mammoth,2,6,L,,3,5,1,L 2,"18,088",2:33,
10,10/26/25,6:00 PM,,San Jose Sharks,5,6,L,OT,3,5,2,L 3,"17,101",2:36,
11,10/28/25,8:00 PM,,Winnipeg Jets,3,4,L,OT,3,5,3,L 4,"16,102",2:36,
12,10/30/25,8:00 PM,,Pittsburgh Penguins,1,4,L,,3,6,3,L 5,"16,203",2:28,
13,11/1/25,7:00 PM,,Vancouver Canucks,5,2,W,,4,6,3,W 1,"17,216",2:31,
14,11/4/25,8:00 PM,,Nashville Predators,3,2,W,OT,5,6,3,W 2,"16,253",2:31,
15,11/6/25,7:00 PM,@,Carolina Hurricanes,3,4,L,,5,7,3,L 1,"18,299",2:39,
16,11/7/25,7:00 PM,@,New York Islanders,5,2,W,,6,7,3,W 1,"15,792",2:28,
17,11/9/25,8:00 PM,,Calgary Flames,2,0,W,,7,7,3,W 2,"17,090",2:32,
18,11/11/25,8:00 PM,,San Jose Sharks,1,2,L,OT,7,7,4,L 1,"16,253",2:26,
19,11/15/25,6:00 PM,,Anaheim Ducks,2,0,W,,8,7,4,W 1,"17,458",2:29,
20,11/16/25,6:00 PM,,Vegas Golden Knights,3,2,W,OT,9,7,4,W 2,"17,439",2:37,
21,11/19/25,9:30 PM,,Carolina Hurricanes,4,3,W,SO,10,7,4,W 3,"16,087",2:38,
22,11/21/25,7:00 PM,@,Pittsburgh Penguins,5,0,W,,11,7,4,W 4,"17,527",2:20,
23,11/23/25,4:00 PM,@,Winnipeg Jets,3,0,W,,12,7,4,W 5,"14,368",2:24,
24,11/26/25,8:30 PM,@,Chicago Blackhawks,4,3,W,OT,13,7,4,W 6,"18,933",2:37,
25,11/28/25,3:30 PM,,Colorado Avalanche,3,2,W,SO,14,7,4,W 7,"19,044",2:39,
26,11/29/25,8:00 PM,,Buffalo Sabres,2,3,L,SO,14,7,5,L 1,"17,233",2:38,
27,12/2/25,9:00 PM,@,Edmonton Oilers,1,0,W,,15,7,5,W 1,"19,173",2:22,
28,12/4/25,9:00 PM,@,Calgary Flames,1,4,L,,15,8,5,L 1,"16,924",2:28,
29,12/6/25,10:00 PM,@,Vancouver Canucks,2,4,L,,15,9,5,L 2,"18,629",2:37,
30,12/8/25,10:00 PM,@,Seattle Kraken,4,1,W,,16,9,5,W 1,"17,151",2:28,
31,12/11/25,8:00 PM,,Dallas Stars,5,2,W,,17,9,5,W 2,"17,109",2:34,
32,12/13/25,2:00 PM,,Ottawa Senators,3,2,W,,18,9,5,W 3,"18,058",2:39,
33,12/14/25,6:00 PM,,Boston Bruins,6,2,W,,19,9,5,W 4,"18,322",2:34,
34,12/16/25,8:00 PM,,Washington Capitals,5,0,W,,20,9,5,W 5,"18,044",2:30,
35,12/18/25,7:00 PM,@,Columbus Blue Jackets,5,2,W,,21,9,5,W 6,"14,845",2:34,
36,12/20/25,3:00 PM,,Edmonton Oilers,5,2,W,,22,9,5,W 7,"19,025",2:29,
37,12/21/25,6:00 PM,,Colorado Avalanche,1,5,L,,22,10,5,L 1,"19,146",2:40,
38,12/23/25,8:00 PM,,Nashville Predators,2,3,L,OT,22,10,6,L 2,"19,033",2:30,
39,12/27/25,7:00 PM,@,Winnipeg Jets,4,3,W,OT,23,10,6,W 1,"15,225",2:33,
40,12/29/25,10:00 PM,@,Vegas Golden Knights,5,2,W,,24,10,6,W 2,"18,102",2:17,
41,12/31/25,4:00 PM,@,San Jose Sharks,3,4,L,SO,24,10,7,L 1,"17,435",2:32,
42,1/2/26,10:30 PM,@,Anaheim Ducks,5,2,W,,25,10,7,W 1,"16,214",2:27,
43,1/3/26,9:00 PM,@,Los Angeles Kings,4,5,L,SO,25,10,8,L 1,"18,145",2:47,
44,1/5/26,10:30 PM,@,Los Angeles Kings,2,4,L,,25,11,8,L 2,"16,874",2:31,
45,1/8/26,10:00 PM,@,Seattle Kraken,3,2,W,OT,26,11,8,W 1,"17,151",2:29,
46,1/10/26,8:00 PM,,New York Islanders,3,4,L,OT,26,11,9,L 1,"19,036",2:33,
47,1/12/26,8:00 PM,,New Jersey Devils,2,5,L,,26,12,9,L 2,"18,747",2:29,
48,1/15/26,8:00 PM,,Winnipeg Jets,2,6,L,,26,13,9,L 3,"18,275",2:25,
49,1/17/26,12:30 PM,@,Buffalo Sabres,5,4,W,OT,27,13,9,W 1,"19,070",2:39,
50,1/19/26,7:30 PM,@,Toronto Maple Leafs,6,3,W,,28,13,9,W 2,"18,742",2:26,
51,1/20/26,7:00 PM,@,Montreal Canadiens,3,4,L,,28,14,9,L 1,"20,962",2:33,
52,1/22/26,9:30 PM,,Detroit Red Wings,4,3,W,OT,29,14,9,W 1,"18,067",2:29,
53,1/24/26,9:00 PM,,Florida Panthers,3,4,L,OT,29,14,10,L 1,"19,103",2:35,
54,1/27/26,8:00 PM,,Chicago Blackhawks,4,3,W,SO,30,14,10,W 1,"18,011",2:45,
55,1/29/26,8:00 PM,,Calgary Flames,4,1,W,,31,14,10,W 2,"17,278",2:26,
56,1/31/26,10:00 PM,@,Edmonton Oilers,7,3,W,,32,14,10,W 3,"18,347",2:31,
57,2/2/26,7:30 PM,,Montreal Canadiens,4,3,W,OT,33,14,10,W 4,"18,228",2:34,
58,2/4/26,8:00 PM,@,Nashville Predators,6,5,W,OT,34,14,10,W 5,"17,235",2:38,
59,2/26/26,9:00 PM,@,Colorado Avalanche,5,2,W,,35,14,10,W 6,"18,148",2:36,
60,2/27/26,9:00 PM,@,Utah Mammoth,2,5,L,,35,15,10,L 1,"12,478",2:25,
61,3/1/26,5:00 PM,,St. Louis Blues,1,3,L,,35,16,10,L 2,"19,121",2:25,
62,3/3/26,9:30 PM,,Tampa Bay Lightning,5,1,W,,36,16,10,W 1,"18,101",2:26,
63,3/6/26,10:00 PM,@,Vegas Golden Knights,4,2,W,,37,16,10,W 2,"18,116",2:30,
64,3/8/26,2:00 PM,@,Colorado Avalanche,2,3,L,SO,37,16,11,L 1,"18,148",2:42,
65,3/10/26,8:00 PM,,Utah Mammoth,5,0,W,,38,16,11,W 1,"18,078",2:31,
66,3/12/26,8:00 PM,,Philadelphia Flyers,2,3,L,SO,38,16,12,L 1,"18,515",2:39,
67,3/14/26,6:00 PM,,New York Rangers,2,4,L,,38,17,12,L 2,"18,925",2:40,
68,3/15/26,7:30 PM,,Toronto Maple Leafs,2,4,L,,38,18,12,L 3,"17,663",2:30,
69,3/17/26,7:30 PM,@,Chicago Blackhawks,4,3,W,OT,39,18,12,W 1,"20,668",2:30,
70,3/19/26,7:30 PM,,Chicago Blackhawks,1,2,L,,39,19,12,L 1,"19,086",2:38,
71,3/21/26,4:00 PM,,Dallas Stars,2,1,W,OT,40,19,12,W 1,"19,229",2:34,
72,3/24/26,7:30 PM,@,Tampa Bay Lightning,3,6,L,,40,20,12,L 1,"19,092",2:48,
73,3/26/26,7:00 PM,@,Florida Panthers,3,2,W,,41,20,12,W 1,"18,979",2:36,
74,3/28/26,5:00 PM,@,Boston Bruins,3,6,L,,41,21,12,L 1,"17,850",2:30,
75,4/2/26,8:00 PM,,Vancouver Canucks,5,2,W,,42,21,12,W 1,"19,156",2:26,
76,4/4/26,1:00 PM,@,Ottawa Senators,4,1,W,,43,21,12,W 2,"18,482",2:29,
77,4/5/26,1:00 PM,@,Detroit Red Wings,5,4,W,,44,21,12,W 3,"17,892",2:30,
78,4/7/26,8:00 PM,,Seattle Kraken,5,2,W,,45,21,12,W 4,"19,089",2:28,
79,4/9/26,9:00 PM,@,Dallas Stars,4,5,L,,45,22,12,L 1,"18,532",2:47,
80,4/11/26,5:00 PM,@,Nashville Predators,1,2,L,,45,23,12,L 2,"17,761",2:24,
81,4/13/26,8:00 PM,@,St. Louis Blues,3,6,L,,45,24,12,L 3,"18,096",2:34,
82,4/14/26,8:00 PM,,Anaheim Ducks,3,2,W,,46,24,12,W 1,"19,008",2:29,