GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/8/24,,St. Louis Blues,2,3,L,,0,1,0,L 1,"17,151",2:37,
2,10/12/24,@,Minnesota Wild,5,4,W,SO,1,1,0,W 1,"18,421",2:43,
3,10/13/24,@,Dallas Stars,0,2,L,,1,2,0,L 1,"18,532",2:23,
4,10/15/24,@,Nashville Predators,7,3,W,,2,2,0,W 1,"17,159",2:34,
5,10/17/24,,Philadelphia Flyers,6,4,W,,3,2,0,W 2,"17,151",2:31,
6,10/19/24,,Calgary Flames,2,1,W,OT,4,2,0,W 3,"17,151",2:33,
7,10/22/24,,Colorado Avalanche,2,3,L,,4,3,0,L 1,"17,151",2:24,
8,10/24/24,,Winnipeg Jets,3,4,L,OT,4,3,1,L 2,"17,151",2:38,
9,10/26/24,,Carolina Hurricanes,1,4,L,,4,4,1,L 3,"17,151",2:28,
10,10/29/24,@,Montreal Canadiens,8,2,W,,5,4,1,W 1,"21,105",2:37,
11,10/31/24,@,Toronto Maple Leafs,1,4,L,,5,5,1,L 1,"18,181",2:23,
12,11/2/24,@,Ottawa Senators,0,3,L,,5,6,1,L 2,"17,274",2:24,
13,11/3/24,@,Boston Bruins,0,2,L,,5,7,1,L 3,"17,850",2:38,
14,11/5/24,@,Colorado Avalanche,3,6,L,,5,8,1,L 4,"18,014",2:32,
15,11/8/24,,Vegas Golden Knights,4,3,W,OT,6,8,1,W 1,"17,151",2:28,
16,11/12/24,,Columbus Blue Jackets,5,2,W,,7,8,1,W 2,"17,151",2:24,
17,11/14/24,,Chicago Blackhawks,3,1,W,,8,8,1,W 3,"17,151",2:26,
18,11/16/24,,New York Islanders,3,2,W,,9,8,1,W 4,"17,151",2:29,
19,11/17/24,,New York Rangers,0,2,L,,9,9,1,L 1,"17,151",2:17,
20,11/20/24,,Nashville Predators,3,0,W,,10,9,1,W 1,"17,151",2:31,
21,11/23/24,@,Los Angeles Kings,1,2,L,,10,10,1,L 1,"18,145",2:20,
22,11/25/24,@,Anaheim Ducks,3,2,W,,11,10,1,W 1,"15,331",2:27,
23,11/27/24,,Anaheim Ducks,2,5,L,,11,11,1,L 1,"17,151",2:37,
24,11/29/24,@,San Jose Sharks,5,8,L,,11,12,1,L 2,"14,795",2:27,
25,11/30/24,,San Jose Sharks,2,4,L,,11,13,1,L 3,"17,151",2:30,
26,12/3/24,@,Carolina Hurricanes,4,2,W,,12,13,1,W 1,"18,700",2:26,
27,12/5/24,@,New York Islanders,5,2,W,,13,13,1,W 2,"14,877",2:24,
28,12/6/24,@,New Jersey Devils,2,3,L,,13,14,1,L 1,"15,582",2:19,
29,12/8/24,@,New York Rangers,7,5,W,,14,14,1,W 1,"18,006",2:34,
30,12/10/24,,Florida Panthers,1,2,L,SO,14,14,2,L 1,"17,151",2:38,
31,12/12/24,,Boston Bruins,5,1,W,,15,14,2,W 1,"17,151",2:24,
32,12/14/24,,Tampa Bay Lightning,1,5,L,,15,15,2,L 1,"17,151",2:26,
33,12/17/24,,Ottawa Senators,0,3,L,,15,16,2,L 2,"17,151",2:23,
34,12/19/24,@,Chicago Blackhawks,1,3,L,,15,17,2,L 3,"18,991",2:27,
35,12/21/24,@,Vegas Golden Knights,2,6,L,,15,18,2,L 4,"17,862",2:34,
36,12/22/24,@,Colorado Avalanche,2,5,L,,15,19,2,L 5,"18,089",2:25,
37,12/28/24,@,Vancouver Canucks,5,4,W,OT,16,19,2,W 1,"18,905",2:27,
38,12/30/24,,Utah Hockey Club,5,2,W,,17,19,2,W 2,"17,151",2:36,
39,1/2/25,,Vancouver Canucks,3,4,L,SO,17,19,3,L 1,"17,151",2:40,
40,1/4/25,,Edmonton Oilers,2,4,L,,17,20,3,L 2,"17,151",2:26,
41,1/6/25,,New Jersey Devils,2,3,L,,17,21,3,L 3,"17,151",2:30,
42,1/9/25,@,Columbus Blue Jackets,2,6,L,,17,22,3,L 4,"15,497",2:21,
43,1/11/25,@,Buffalo Sabres,6,2,W,,18,22,3,W 1,"16,759",2:32,
44,1/12/25,@,Detroit Red Wings,2,6,L,,18,23,3,L 1,"19,515",2:30,
45,1/14/25,@,Pittsburgh Penguins,4,2,W,,19,23,3,W 1,"16,314",2:23,
46,1/16/25,@,Winnipeg Jets,1,2,L,,19,24,3,L 1,"13,959",2:22,
47,1/18/25,,Los Angeles Kings,4,2,W,,20,24,3,W 1,"17,151",2:24,
48,1/20/25,,Buffalo Sabres,6,4,W,,21,24,3,W 2,"17,151",2:23,
49,1/23/25,,Washington Capitals,0,3,L,,21,25,3,L 1,"17,151",2:28,
50,1/25/25,,Pittsburgh Penguins,4,1,W,,22,25,3,W 1,"17,151",2:18,
51,1/27/25,@,Edmonton Oilers,2,4,L,,22,26,3,L 1,"18,347",2:22,
52,1/28/25,,Anaheim Ducks,4,6,L,,22,27,3,L 2,"17,151",2:28,
53,1/30/25,,San Jose Sharks,6,2,W,,23,27,3,W 1,"17,151",2:27,
54,2/2/25,,Calgary Flames,2,3,L,,23,28,3,L 1,"17,151",2:45,
55,2/4/25,,Detroit Red Wings,4,5,L,SO,23,28,4,L 2,"17,151",2:41,
56,2/6/25,,Toronto Maple Leafs,1,3,L,,23,29,4,L 3,"17,151",2:36,
57,2/8/25,@,Calgary Flames,3,2,W,OT,24,29,4,W 1,"17,795",2:30,
58,2/22/25,@,Florida Panthers,2,1,W,,25,29,4,W 2,"19,628",2:29,
59,2/23/25,@,Tampa Bay Lightning,1,4,L,,25,30,4,L 1,"19,092",2:25,
60,2/25/25,@,St. Louis Blues,2,7,L,,25,31,4,L 2,"18,096",2:28,
61,3/1/25,,Vancouver Canucks,6,3,W,,26,31,4,W 1,"17,151",2:25,
62,3/4/25,,Minnesota Wild,3,4,L,,26,32,4,L 1,"17,151",2:46,
63,3/6/25,@,Nashville Predators,3,5,L,,26,33,4,L 2,"17,159",2:22,
64,3/8/25,@,Philadelphia Flyers,4,1,W,,27,33,4,W 1,"19,264",2:21,
65,3/9/25,@,Washington Capitals,2,4,L,,27,34,4,L 1,"18,573",2:36,
66,3/12/25,,Montreal Canadiens,5,4,W,OT,28,34,4,W 1,"17,151",2:33,
67,3/14/25,,Utah Hockey Club,4,2,W,,29,34,4,W 2,"17,151",2:30,
68,3/16/25,,Winnipeg Jets,2,3,L,OT,29,34,5,L 1,"17,151",2:31,
69,3/18/25,@,Chicago Blackhawks,6,2,W,,30,34,5,W 1,"18,505",2:21,
70,3/19/25,@,Minnesota Wild,0,4,L,,30,35,5,L 1,"17,579",2:23,
71,3/22/25,@,Edmonton Oilers,4,5,L,,30,36,5,L 2,"18,347",2:31,
72,3/25/25,@,Calgary Flames,3,4,L,OT,30,36,6,L 3,"14,955",2:35,
73,3/27/25,,Edmonton Oilers,6,1,W,,31,36,6,W 1,"17,151",2:37,
74,3/29/25,,Dallas Stars,1,5,L,,31,37,6,L 1,"17,151",2:38,
75,3/31/25,,Dallas Stars,1,3,L,,31,38,6,L 2,"17,151",2:32,
76,4/2/25,@,Vancouver Canucks,5,0,W,,32,38,6,W 1,"18,914",2:21,
77,4/5/25,@,San Jose Sharks,5,1,W,,33,38,6,W 2,"17,435",2:33,
78,4/7/25,@,Los Angeles Kings,2,1,W,,34,38,6,W 3,"16,655",2:28,
79,4/8/25,@,Utah Hockey Club,1,7,L,,34,39,6,L 1,"11,131",2:33,
80,4/10/25,@,Vegas Golden Knights,1,2,L,,34,40,6,L 2,"17,971",2:29,
81,4/12/25,,St. Louis Blues,4,3,W,SO,35,40,6,W 1,"17,151",2:42,
82,4/15/25,,Los Angeles Kings,5,6,L,,35,41,6,L 1,"17,151",2:33,